run_id,created_at,mode,status,workspace,manifest,report,notes
TRAIN-20260528_212149,2026-05-28T21:22:01,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260528_212149/workspace,16_learning/agent_runs/TRAIN-20260528_212149/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260528_212149/reports/full_gap_report.md,
TRAIN-20260528_212202,2026-05-28T21:22:12,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260528_212202/workspace,16_learning/agent_runs/TRAIN-20260528_212202/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260528_212202/reports/full_gap_report.md,
FORMAL-20260528_221843,2026-05-28T22:18:43,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260528_221843/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260528_221843/reports/formal_assist_report.md,
FORMAL-20260528_222036,2026-05-28T22:20:36,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260528_222036/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260528_222036/reports/formal_assist_report.md,
FORMAL-20260528_222054,2026-05-28T22:20:54,formal_assist,dry_run,.,16_learning/agent_runs/FORMAL-20260528_222054/run_manifest.yaml,16_learning/agent_runs/FORMAL-20260528_222054/reports/formal_assist_report.md,
TRAIN-20260529_122952,2026-05-29T12:29:53,training_sandbox,agent_failed,16_learning/agent_runs/TRAIN-20260529_122952/workspace,16_learning/agent_runs/TRAIN-20260529_122952/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260529_122952/reports/full_gap_report.md,agent command failed
TRAIN-20260529_123038,2026-05-29T12:30:39,training_sandbox,dry_run,16_learning/agent_runs/TRAIN-20260529_123038/workspace,16_learning/agent_runs/TRAIN-20260529_123038/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260529_123038/reports/full_gap_report.md,
TRAIN-20260602_112822,2026-06-02T11:28:23,training_sandbox,agent_failed,16_learning/agent_runs/TRAIN-20260602_112822/workspace,16_learning/agent_runs/TRAIN-20260602_112822/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260602_112822/reports/full_gap_report.md,agent command failed
TRAIN-20260602_123559,2026-06-02T12:36:44,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260602_123559/workspace,16_learning/agent_runs/TRAIN-20260602_123559/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260602_123559/reports/full_gap_report.md,
TRAIN-20260602_130017,2026-06-02T13:00:19,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260602_130017/workspace,16_learning/agent_runs/TRAIN-20260602_130017/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260602_130017/reports/full_gap_report.md,
TRAIN-20260602_130238,2026-06-02T13:02:40,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260602_130238/workspace,16_learning/agent_runs/TRAIN-20260602_130238/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260602_130238/reports/full_gap_report.md,
TRAIN-20260602_130744,2026-06-02T13:07:46,training_sandbox,completed,16_learning/agent_runs/TRAIN-20260602_130744/workspace,16_learning/agent_runs/TRAIN-20260602_130744/run_manifest.yaml,16_learning/agent_runs/TRAIN-20260602_130744/reports/full_gap_report.md,
